"filename", "language", "YAML", "Markdown", "MS SQL", "TypeScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.github\copilot-instructions.md", "Markdown", 0, 55, 0, 0, 0, 0, 0, 0, 11, 66
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\SecondLife_RLV_Guide.md", "Markdown", 0, 203, 0, 0, 0, 0, 0, 0, 83, 286
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl_stores_to_scrape.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl_viewers.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -455, 0, 0, -11, -466
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\users\[id]\route.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 1, 7, 55
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\blog\route.ts", "TypeScript", 0, 0, 0, 170, 0, 0, 0, 5, 19, 194
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\public\blog\[postId]\rating\route.ts", "TypeScript", 0, 0, 0, 132, 0, 0, 0, 10, 18, 160
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\categories\[id]\route.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\categories\route.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\items\[id]\categories\route.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\tools\marketplace\items\route.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 2, 4, 30
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\blog\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 171, 0, 0, 2, 173
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 300, 0, 12, 23, 335
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\admin\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1132, 0, 14, 36, 1182
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\blog\categories\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 296, 0, 1, 21, 318
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\blog\edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 143, 0, 0, 10, 153
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\blog\manage\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 301, 0, 3, 13, 317
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\blog\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 8, 120
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 164, 0, 0, 7, 171
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\blog\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 234, 0, 1, 16, 251
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace-scrape\Importer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 13, 158
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace-scrape\Scraper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 2, 16, 141
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\Categories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\CategoriesEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -218, 0, 0, -15, -233
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\Explorer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -666, 0, -15, -18, -699
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\Importer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -140, 0, 0, -13, -153
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\Scraper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -123, 0, -2, -16, -141
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\categories\CategoriesEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 588, 0, 35, 23, 646
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\categories\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\explorer\Explorer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 731, 0, 19, 20, 770
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\explorer\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -37, 0, 0, -2, -39
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\scrape\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\userprofile\api-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\userprofile\organization-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 895, 0, 7, 22, 924
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\userprofile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 4, 41
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\userprofile\user-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 887, 0, 2, 18, 907
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 40, 2, 1, 43
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\marketplace\ClientExplorer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 532, 0, 1, 1, 534
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\marketplace\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -73, 0, -1, -5, -79
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 4, 9, 134
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\userprofile\TeamMembers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\userprofile\api-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -10, 0, 0, -1, -11
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\userprofile\client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, -2, -10
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\userprofile\organization-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -895, 0, -7, -22, -924
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\userprofile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -47, 0, 0, -2, -49
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\userprofile\user-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -888, 0, -2, -18, -908
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\app-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 1, 1, 25
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\blog\category-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 5, 70
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\blog\email-template-editor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 7, 94
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\blog\rating.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 4, 9, 115
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\blog\toc.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 3, 10, 104
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -14, 0, 0, 0, -14
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\markdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 155, 0, 1, 5, 161
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\pickers\org-team-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 185, 0, 7, 12, 204
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\pickers\team-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 142, 0, 11, 12, 165
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\pickers\user-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 176, 0, 6, 11, 193
