"filename", "language", "Markdown", "JSON", "TypeScript JSX", "YAML", "TypeScript", "PostCSS", "JSON with Comments", "JavaScript", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.backups\home-page.tsx", "TypeScript JSX", 0, 0, 711, 0, 0, 0, 0, 0, 0, 0, 12, 38, 761
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.backups\packages\core\app\globals.sanctum-vibes.backup.2025-09-04.css", "PostCSS", 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 2, 11, 266
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.backups\packages\core\app\page.sanctum-vibes.backup.2025-09-04.tsx", "TypeScript JSX", 0, 0, 711, 0, 0, 0, 0, 0, 0, 0, 12, 38, 761
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.copilot_prev_pkg.json", "JSON", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.github\copilot-instructions.md", "Markdown", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 104
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\API_KEYS.md", "Markdown", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 144
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\README.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 103
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\SecondLife_RLV_Guide.md", "Markdown", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 286
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\performance-todo.md", "Markdown", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 79
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl-bodys.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl-system-todo.md", "Markdown", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 131
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl_stores_to_scrape.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\docs\sl_viewers.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\package.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\forget-password\page.tsx", "TypeScript JSX", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 1, 7, 128
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\reset-password\page.tsx", "TypeScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 3, 96
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\sign-in\loading.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\sign-in\page.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 4, 58
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\two-factor\otp\page.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 2, 6, 109
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\(auth)\two-factor\page.tsx", "TypeScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\accept-invitation\[id]\invitation-error.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\accept-invitation\[id]\page.tsx", "TypeScript JSX", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 10, 183
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api-docs\page.tsx", "TypeScript JSX", 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 6, 15, 333
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\rbac\members\route.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\rbac\overrides\route.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 12, 79
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\rbac\permissions\route.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\rbac\roles\[roleId]\members\route.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 12, 74
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\rbac\roles\[roleId]\permissions\route.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 2, 12, 78
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\rbac\roles\[roleId]\route.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 10, 65
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\rbac\roles\route.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\rbac\seed-org\route.ts", "TypeScript", 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 5, 11, 232
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\admin\users\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 7, 55
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\auth\[...all]\route.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\auth\can\route.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\apikeys\route.ts", "TypeScript", 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 9, 13, 328
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\blog\route.ts", "TypeScript", 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 0, 6, 252
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\configs\route.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 7, 48
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\entitlements\route.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 7, 33
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\instances\[id]\token\revoke\route.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\instances\[id]\token\rotate\route.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\instances\route.ts", "TypeScript", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 1, 11, 120
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\integrations\discord\channels\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\integrations\discord\channels\route.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\integrations\discord\presets\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\integrations\discord\presets\route.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\integrations\discord\send-multi\route.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\integrations\discord\send\route.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\master-objects\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 9, 106
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\master-objects\[id]\versions\route.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\master-objects\route.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\[id]\deliveries\route.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 3, 12, 101
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\[id]\destinations\[destId]\route.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 3, 69
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\[id]\destinations\route.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 6, 60
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\[id]\test\route.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 7, 40
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\deliveries\[deliveryId]\retry\route.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 2, 8, 60
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\events\route.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\api\creator\webhooks\route.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
